Ward_No,WardName,AC_No,AC_Name,ward_area_km2,TotalPop,SC_Pop,Population_Density_per_km2,SC_Share,LST_mean_2015,LST_mean_2019,LST_mean_2022,LST_p90_2015,LST_p90_2019,LST_p90_2022,LST_change_2015_2019,LST_change_2019_2022,LST_change_2015_2022,NDVI_mean_2015,NDVI_mean_2019,NDVI_mean_2022,NDVI_p90_2015,NDVI_p90_2019,NDVI_p90_2022,NDVI_change_2015_2022,nearest_hospital_dist_km,hospitals_within_2km,hospitals_within_5km,hospital_beds_within_5km,nearest_cooling_center_dist_km,cooling_centers_within_1km,cooling_centers_within_2km,SEC_Total_Population,SEC_SC_Population,Population_Mapping_Coverage,N_PCA_Units,N_Direct_PCA_Units,N_Candidate_Split_Units,N_Manual_Review_Units,Mapping_Status,Provenance,NDVI_2022_mean,NDVI_2022_median,NDVI_2022_p10,NDVI_2022_p90,valid_ndvi_area_km2,NDVI_pct_valid,LST_2015_mean,LST_2015_median,LST_2015_p90,valid_lst_area_2015_km2,LST_2015_pct_valid,LST_2019_mean,LST_2019_median,LST_2019_p90,valid_lst_area_2019_km2,LST_2019_pct_valid,LST_2022_mean,LST_2022_median,LST_2022_p90,valid_lst_area_2022_km2,LST_2022_pct_valid,cooling_centers_temples_1km,cooling_centers_schools_1km,cooling_centers_govt_bldg_1km,LST_diff_2015_2022,NDVI_diff_2015_2022
1,NARELA,1,NARELA,7.024709895158981,11468.0,2739.330855018587,1632.5229327837544,0.2388673574309894,46.89258027196901,52.94928378225453,39.01261371031842,48.59291762881744,55.96520470327981,40.718100374124745,6.056703510285523,-13.936670071936112,-7.8799665616505905,0.226780327242883,0.2083992740089424,0.2735784709527614,0.3463950407814244,0.3232492339869359,0.4003137013328036,0.04679814370987839,18.63,0,0,0,23.52,0,0,54908,11618,0.208858454141473,2,0,1,1,CONTAINS_MANUAL_REVIEW_UNITS,2011 Census PCA linked to official 2022 Delhi ward delimitation. Direct PCA units receive full-value transfer. Split PCA units with passing population-share QA receive candidate population-proportional allocation. Unresolved/manual units are explicitly flagged.,0.2735784709527614,0.2792387676176789,0.1347916762260845,0.4003137013328036,7.014450703300213,99.8539556506691,46.89258027196901,47.03131048112016,48.59291762881744,7.014644175283633,99.85670981399124,52.94928378225453,52.592326913986064,55.96520470327981,7.014644175283633,99.85670981399124,39.01261371031842,39.091849999323344,40.718100374124745,7.014644175283633,99.85670981399124,0,0,0,-7.8799665616505905,0.0467981437098783
2,BANKNER,1,NARELA,19.35889331155529,40629.0,10272.5713833742,2098.725342721354,0.2528384007328312,47.94642645195547,53.49418347003894,38.61078607512964,50.03143511500349,57.34168978900728,41.21828939591997,5.547757018083473,-14.883397394909302,-9.335640376825829,0.2184432837386124,0.1956710000784583,0.2913357307735371,0.3253261525125263,0.3104429798685668,0.411936925358505,0.07289244703492467,18.62,0,0,0,22.92,0,0,52874,12650,0.7684116957294701,3,1,1,1,CONTAINS_MANUAL_REVIEW_UNITS,2011 Census PCA linked to official 2022 Delhi ward delimitation. Direct PCA units receive full-value transfer. Split PCA units with passing population-share QA receive candidate population-proportional allocation. Unresolved/manual units are explicitly flagged.,0.2913357307735371,0.2792262420935252,0.1776732343913985,0.411936925358505,19.332138129520214,99.86179384531704,47.94642645195547,47.90558774271913,50.03143511500349,19.331605498590683,99.859042495222,53.49418347003894,53.15646243139749,57.34168978900728,19.331605498590683,99.859042495222,38.61078607512964,38.21672923107372,41.21828939591997,19.331605498590683,99.859042495222,0,0,0,-9.335640376825827,0.0728924470349246
3,HOLAMBI KALAN,1,NARELA,25.14362926627777,3914.0,560.763185348325,155.6656741375595,0.1432711255361076,47.23612505456879,52.43999966190921,39.57484865070242,49.65590503998,55.46755041592044,41.93758233353157,5.203874607340424,-12.865151011206793,-7.661276403866367,0.2568791613092097,0.2537523664855495,0.3183049655146243,0.3886351275499379,0.3846529160127955,0.4787103577692382,0.0614258042054146,14.67,0,0,0,19.01,0,0,79748,18725,0.0490796007423383,2,0,1,1,CONTAINS_MANUAL_REVIEW_UNITS,2011 Census PCA linked to official 2022 Delhi ward delimitation. Direct PCA units receive full-value transfer. Split PCA units with passing population-share QA receive candidate population-proportional allocation. Unresolved/manual units are explicitly flagged.,0.3183049655146243,0.3106110563483967,0.1543139976356617,0.4787103577692382,25.10770824892262,99.8571367045913,47.23612505456879,47.40584376623946,49.65590503998,25.10704356829023,99.85449316962128,52.43999966190921,52.34478680491677,55.46755041592044,25.10704356829023,99.85449316962128,39.57484865070242,39.43845214717656,41.93758233353157,25.10704356829023,99.85449316962128,0,0,0,-7.661276403866367,0.0614258042054146
4,ALIPUR,1,NARELA,34.795671160920854,56846.0,12381.23681465167,1633.7089673339583,0.217803131524675,47.321086904208016,52.43173869477538,39.72211341712794,49.31292012472839,55.56050502165801,42.34413983618213,5.110651790567367,-12.70962527764744,-7.598973487080073,0.2438321253923868,0.2478021370584328,0.3067357585223999,0.3612840729448134,0.3770411393131013,0.4589573307429657,0.06290363313001313,11.47,0,0,0,16.07,0,0,74449,15359,0.7635562599900603,5,4,1,0,DIRECT_PLUS_CANDIDATE_SPLITS,2011 Census PCA linked to official 2022 Delhi ward delimitation. Direct PCA units receive full-value transfer. Split PCA units with passing population-share QA receive candidate population-proportional allocation. Unresolved/manual units are explicitly flagged.,0.3067357585223999,0.2988281044490839,0.1541835546367142,0.4589573307429657,34.7468949562974,99.85982105533222,47.321086904208016,47.43887904700947,49.31292012472839,34.74724324541614,99.86082201064396,52.43173869477538,52.563541255958974,55.56050502165801,34.74724324541614,99.86082201064396,39.72211341712794,39.84478355228294,42.34413983618213,34.74724324541614,99.86082201064396,0,0,0,-7.598973487080073,0.0629036331300131
5,BAKHTAWARPUR,1,NARELA,55.857076543462966,18055.0,3263.0,323.2356778635061,0.1807255607864857,45.1605978930009,51.64825101763397,37.20934427259226,48.28061992686513,56.06061357579173,40.0956482782491,6.48765312463307,-14.438906745041706,-7.951253620408636,0.2355762908068886,0.2314685270253879,0.3214970886583486,0.3808568993633945,0.3925739469520381,0.4629325227095432,0.08592079785145998,10.88,0,0,0,16.62,0,0,55144,10926,0.3274154939793994,2,2,0,0,DIRECT_ONLY,2011 Census PCA linked to official 2022 Delhi ward delimitation. Direct PCA units receive full-value transfer. Split PCA units with passing population-share QA receive candidate population-proportional allocation. Unresolved/manual units are explicitly flagged.,0.3214970886583486,0.3066661550135668,0.201242327035683,0.4629325227095432,55.779198057244415,99.8605754345952,45.1605978930009,45.34352359251197,48.28061992686513,55.779651706274365,99.86138759494804,51.64825101763397,51.93734836210113,56.06061357579173,55.779651706274365,99.86138759494804,37.20934427259226,36.90602402573776,40.0956482782491,55.779651706274365,99.86138759494804,0,0,0,-7.951253620408636,0.0859207978514599
6,BURARI,2,BURARI,11.992684951368478,60742.0,7446.049190880291,5064.920845191449,0.1225848538224012,47.18516349006857,49.53254097823803,37.19237266701586,50.18896117452854,53.56730041521948,39.66256323078897,2.347377488169464,-12.340168311222172,-9.992790823052708,0.2106475314927527,0.2541057301828515,0.3146637845768903,0.3380880554739711,0.4433825033853236,0.4941092555146655,0.10401625308413762,4.78,0,0,0,10.47,0,0,71180,6441,0.8533576847429053,3,0,3,0,DIRECT_PLUS_CANDIDATE_SPLITS,2011 Census PCA linked to official 2022 Delhi ward delimitation. Direct PCA units receive full-value transfer. Split PCA units with passing population-share QA receive candidate population-proportional allocation. Unresolved/manual units are explicitly flagged.,0.3146637845768903,0.3026904425206752,0.1425327929886849,0.4941092555146655,11.975474358117198,99.85649090824056,47.18516349006857,47.44056265404697,50.18896117452854,11.975339708070296,99.85536814009107,49.53254097823803,49.81102464796784,53.56730041521948,11.975339708070296,99.85536814009107,37.19237266701586,37.09643492390197,39.66256323078897,11.975339708070296,99.85536814009107,0,0,0,-9.992790823052708,0.1040162530841376
7,KADIPUR,2,BURARI,13.108788829244048,63426.0,9655.59185628395,4838.433269937542,0.1522339711834886,47.48303239099038,50.91055158731573,39.06417659389951,49.77890915332233,53.72164784553853,41.27765988503691,3.427519196325349,-11.84637499341622,-8.41885579709087,0.2256252697925872,0.2396395626221062,0.2977371550186391,0.3327808855663237,0.3651211334733651,0.462685704987447,0.07211188522605191,6.12,0,0,0,11.49,0,0,66329,11320,0.9562333217747891,5,3,2,0,DIRECT_PLUS_CANDIDATE_SPLITS,2011 Census PCA linked to official 2022 Delhi ward delimitation. Direct PCA units receive full-value transfer. Split PCA units with passing population-share QA receive candidate population-proportional allocation. Unresolved/manual units are explicitly flagged.,0.2977371550186391,0.2871469026784932,0.1426784096272138,0.462685704987447,13.090128468363186,99.85765000013402,47.48303239099038,47.46974984653773,49.77890915332233,13.089187461544272,99.85047155801269,50.91055158731573,50.90769920566261,53.72164784553853,13.089187461544272,99.85047155801269,39.06417659389951,39.091675922679656,41.27765988503691,13.089187461544272,99.85047155801269,0,0,0,-8.41885579709087,0.0721118852260519
8,MUKUNDPUR,2,BURARI,3.850387952675286,86243.0,17868.14448236633,22398.52219049188,0.2071837074587657,45.16375732677725,47.46611042545558,38.106221585779,47.65779865653392,50.19220557612358,40.402256610678776,2.302353098678332,-9.359888839676586,-7.057535740998254,0.2334084799320977,0.2612620721214025,0.2518220884633539,0.4004494171080078,0.4393497000282309,0.4551603991112921,0.018413608531256204,2.14,0,0,0,7.58,0,0,86243,18359,1.0,2,1,1,0,DIRECT_PLUS_CANDIDATE_SPLITS,2011 Census PCA linked to official 2022 Delhi ward delimitation. Direct PCA units receive full-value transfer. Split PCA units with passing population-share QA receive candidate population-proportional allocation. Unresolved/manual units are explicitly flagged.,0.2518220884633539,0.2166738844054617,0.1112091906625139,0.4551603991112921,3.8448327685034656,99.85572404027596,45.16375732677725,45.778471864549765,47.65779865653392,3.844440574529431,99.84553821020236,47.46611042545558,48.064488431500486,50.19220557612358,3.844440574529431,99.84553821020236,38.106221585779,38.65515299970909,40.402256610678776,3.844440574529431,99.84553821020236,0,0,0,-7.057535740998254,0.0184136085312562
9,SANT NAGAR,2,BURARI,3.275339914417918,54096.0,8181.814470469435,16516.148373447144,0.1512462006519786,46.06838636624231,48.93943117798317,38.855497702252485,47.735402179486144,50.96137235816189,40.28334353313595,2.871044811740859,-10.083933475730682,-7.212888663989823,0.1961695569363313,0.1826466116762922,0.1676160579761532,0.2938668696153906,0.2868486198157393,0.2673464248188393,-0.028553498960178114,2.41,0,0,0,8.19,0,0,54096,7685,1.0,4,1,3,0,DIRECT_PLUS_CANDIDATE_SPLITS,2011 Census PCA linked to official 2022 Delhi ward delimitation. Direct PCA units receive full-value transfer. Split PCA units with passing population-share QA receive candidate population-proportional allocation. Unresolved/manual units are explicitly flagged.,0.1676160579761532,0.1385647279203882,0.1035368338155472,0.2673464248188393,3.270377138308294,99.84848057791564,46.06838636624231,46.14049255842696,47.735402179486144,3.270547923222325,99.85369484325888,48.93943117798317,48.971547114512944,50.96137235816189,3.270547923222325,99.85369484325888,38.855497702252485,39.03204684868143,40.28334353313595,3.270547923222325,99.85369484325888,0,0,0,-7.212888663989823,-0.0285534989601781
10,JHARODA,2,BURARI,11.559242420160391,76098.0,8173.4,6583.303406396082,0.1074062393229783,45.30755412144482,46.94220650571651,37.03945231725079,48.80958287571013,51.06110942462388,40.21906476869478,1.6346523842716962,-9.90275418846572,-8.268101804194025,0.2475888615701423,0.2991159451416814,0.3313279180630557,0.412142922021958,0.5136646954384259,0.5566768337955303,0.08373905649291344,3.24,0,0,0,7.89,0,0,83406,8954,0.9123804042874614,2,1,1,0,DIRECT_PLUS_CANDIDATE_SPLITS,2011 Census PCA linked to official 2022 Delhi ward delimitation. Direct PCA units receive full-value transfer. Split PCA units with passing population-share QA receive candidate population-proportional allocation. Unresolved/manual units are explicitly flagged.,0.3313279180630557,0.3299536484344313,0.1151814488468579,0.5566768337955303,11.542942066788752,99.8589842415346,45.30755412144482,45.93855571280927,48.80958287571013,11.542528475870764,99.855406230944,46.94220650571651,47.56310852335008,51.06110942462388,11.542528475870764,99.855406230944,37.03945231725079,36.78066455719925,40.21906476869478,11.542528475870764,99.855406230944,0,0,0,-8.268101804194025,0.0837390564929134
