name,lat,lon
AIIMS Delhi,28.567,77.21
Ram Manohar Lohia Hospital,28.6345,77.2271
Guru Tegh Bahadur Hospital,28.684,77.309
Apollo Hospital Indraprastha,28.5411,77.2833
Dharamshila Narayana Hospital,28.6026,77.314
Sir Ganga Ram Hospital,28.7271,77.1899
Fortis Hospital Vasant Kunj,28.5173,77.185
Max Healthcare Saket,28.5244,77.1953
Delhi Heart & Lung Institute,28.57,77.23
Safdarjung Hospital,28.5702,77.1898
National Heart Institute,28.6141,77.2345
Lady Hardinge Medical College,28.5906,77.3241
Maulana Azad Medical College,28.6345,77.2271
Ambedkar Nagar Hospital,28.562,77.307
Charak Palika Hospital,28.5853,77.1771
Rajendra Prasad Centre,28.59,77.21
Lok Nayak Jayaprakash Hospital,28.6345,77.2271
