Ward_No,Static_Heat_Score,Vulnerability_Score,Response_Gap_Score
1,0.3992,0.4696612903225806,0.972
2,0.464,0.4797096774193549,0.964
3,0.7088000000000001,0.3850483870967742,0.908
4,0.776,0.4545322580645161,0.839
5,0.1503999999999999,0.4273790322580645,0.831
6,0.0791999999999999,0.3848225806451613,0.5579999999999999
7,0.548,0.4241451612903226,0.648
8,0.2472,0.548491935483871,0.35
9,0.296,0.4741290322580646,0.382
10,0.1712,0.3716612903225806,0.426
11,0.1896,0.5214112903225807,0.382
12,0.1616,0.5898467741935484,0.312
13,0.0744,0.4104435483870967,0.273
14,0.4911999999999999,0.4221532258064516,0.212
15,0.8855999999999999,0.5100887096774194,0.266
16,0.96,0.6385483870967742,0.37
17,0.8304,0.665475806451613,0.3419999999999999
18,0.9296,0.5905,0.4379999999999999
19,0.9464,0.4459354838709677,0.5800000000000001
20,0.9752,0.5425725806451613,0.5920000000000001
21,0.2056,0.4241209677419355,0.6639999999999999
22,0.1064,0.377266129032258,0.7
23,0.5671999999999999,0.4095322580645161,0.712
24,0.2512,0.5883145161290322,0.734
25,0.4696,0.530741935483871,0.775
26,0.5904,0.5064596774193548,0.844
27,0.2784,0.4803951612903225,0.844
28,0.5672,0.5783064516129032,0.777
29,0.6904,0.4741048387096774,0.892
30,0.772,0.3969596774193549,0.956
31,0.5047999999999999,0.4324032258064516,0.988
32,0.8271999999999999,0.41525,0.98
33,0.2775999999999999,0.4101048387096774,0.949
34,0.8288,0.5199193548387098,0.966
35,0.7128,0.4101612903225806,0.972
36,0.4352,0.3634354838709677,0.874
37,0.7752,0.5894193548387097,0.872
38,0.448,0.6383548387096775,0.894
39,0.0279999999999999,0.5049516129032259,0.926
40,0.0751999999999999,0.4136693548387097,0.91
41,0.5344,0.6636129032258065,0.858
42,0.124,0.7229354838709677,0.784
43,0.5256,0.712983870967742,0.819
44,0.5296,0.7279112903225806,0.842
45,0.3584,0.6296854838709678,0.8200000000000001
46,0.7936,0.5524354838709677,0.862
47,0.404,0.3366666666666666,0.868
48,0.5488,0.4905161290322581,0.7889999999999999
49,0.56,0.6759435483870968,0.785
50,0.5728,0.7069677419354838,0.75
51,0.3952,0.4890322580645161,0.6799999999999999
52,0.3176,0.4190645161290323,0.628
53,0.1504,0.365008064516129,0.595
54,0.388,0.5033306451612903,0.604
55,0.5032,0.5328790322580645,0.437
56,0.1616,0.4123225806451613,0.357
57,0.1336,0.4014758064516128,0.485
58,0.228,0.3231451612903225,0.6799999999999999
59,0.0768,0.4356370967741935,0.72
60,0.2712,0.3553951612903225,0.624
61,0.1312,0.4881209677419355,0.546
62,0.7448,0.6497741935483871,0.492
63,0.476,0.3070564516129032,0.416
64,0.6648000000000001,0.5412258064516129,0.368
65,0.8088,0.5021129032258065,0.269
66,0.0544,0.7078387096774194,0.258
67,0.7864,0.8218225806451613,0.2219999999999999
68,0.332,0.4712096774193548,0.2219999999999999
69,0.1776,0.4711370967741936,0.244
70,0.272,0.4020161290322581,0.304
71,0.8648,0.5711774193548388,0.303
72,0.8392,0.5948064516129032,0.231
73,0.1136,0.5177822580645162,0.313
74,0.8031999999999999,0.6553709677419355,0.118
75,0.888,0.5001290322580646,0.08
76,0.6304000000000001,0.6120967741935484,0.0559999999999999
77,0.6216,0.5964677419354839,0.016
78,0.8248,0.5249274193548388,0.05
79,0.8424,0.5787258064516129,0.08
80,0.7176,0.7209032258064516,0.133
81,0.8008,0.6906370967741935,0.192
82,0.5112,0.6147016129032259,0.121
83,0.4968,0.6168548387096774,0.25
84,0.1736,0.71,0.3359999999999999
85,0.4479999999999999,0.7166532258064516,0.395
86,0.1848,0.6906693548387097,0.421
87,0.2848,0.6192983870967741,0.486
